Date,Ticker,Open,High,Low,Close,Volume,Asset_Class,date
9/2/2014,VT,62.88,62.93,62.64,62.86,324800,All_World_Equity_BM,9/2/2014
9/3/2014,VT,63.15,63.35,62.92,62.99,285900,All_World_Equity_BM,9/3/2014
9/4/2014,VT,63.11,63.21,62.69,62.79,174000,All_World_Equity_BM,9/4/2014
9/5/2014,VT,62.74,62.97,62.54,62.93,207000,All_World_Equity_BM,9/5/2014
9/8/2014,VT,62.65,62.81,62.4,62.55,413100,All_World_Equity_BM,9/8/2014
9/9/2014,VT,62.5,62.5,62.06,62.22,213300,All_World_Equity_BM,9/9/2014
9/10/2014,VT,62.14,62.45,62.03,62.43,264000,All_World_Equity_BM,9/10/2014
9/11/2014,VT,62.28,62.3,62,62.3,233800,All_World_Equity_BM,9/11/2014
9/12/2014,VT,62.32,62.32,61.82,61.99,176600,All_World_Equity_BM,9/12/2014
9/15/2014,VT,61.97,61.99,61.74,61.86,173700,All_World_Equity_BM,9/15/2014
9/16/2014,VT,61.7,62.36,61.62,62.27,382700,All_World_Equity_BM,9/16/2014
9/17/2014,VT,62.26,62.38,61.95,62.04,398100,All_World_Equity_BM,9/17/2014
9/18/2014,VT,62.27,62.4,62.2,62.35,842200,All_World_Equity_BM,9/18/2014
9/19/2014,VT,62.48,62.51,62.05,62.1,121700,All_World_Equity_BM,9/19/2014
9/22/2014,VT,62.05,62.09,61.53,61.64,308200,All_World_Equity_BM,9/22/2014
9/23/2014,VT,61.41,61.58,61.2,61.22,277300,All_World_Equity_BM,9/23/2014
9/24/2014,VT,60.96,61.47,60.88,61.42,159700,All_World_Equity_BM,9/24/2014
9/25/2014,VT,61.03,61.11,60.39,60.42,288700,All_World_Equity_BM,9/25/2014
9/26/2014,VT,60.51,60.89,60.45,60.77,116800,All_World_Equity_BM,9/26/2014
9/29/2014,VT,60.23,60.55,60.06,60.47,343000,All_World_Equity_BM,9/29/2014
9/30/2014,VT,60.51,60.57,60.13,60.38,294600,All_World_Equity_BM,9/30/2014
10/1/2014,VT,60.08,60.15,59.41,59.48,378600,All_World_Equity_BM,10/1/2014
10/2/2014,VT,59.42,59.46,58.71,59.3,290600,All_World_Equity_BM,10/2/2014
10/3/2014,VT,59.53,59.79,59.38,59.73,988300,All_World_Equity_BM,10/3/2014
